iter	Passed	Remaining
588	12069	8422
589	12094	8404
590	12117	8385
591	12141	8367
592	12171	8353
593	12197	8337
594	12218	8317
595	12237	8294
596	12256	8273
597	12278	8254
598	12297	8232
599	12315	8210
600	12335	8189
601	12360	8171
602	12385	8154
603	12408	8135
604	12432	8117
605	12456	8098
606	12479	8080
607	12507	8063
608	12531	8045
609	12551	8024
610	12569	8002
611	12587	7980
612	12608	7959
613	12630	7940
614	12652	7920
615	12671	7899
616	12691	7878
617	12710	7856
618	12730	7835
619	12754	7816
620	12773	7795
621	12791	7773
622	12809	7751
623	12829	7730
624	12855	7713
625	12881	7695
626	12905	7677
627	12927	7657
628	12953	7640
629	12978	7622
630	13003	7604
631	13025	7584
632	13044	7563
633	13063	7541
634	13082	7520
635	13105	7500
636	13127	7480
637	13150	7461
638	13168	7439
639	13187	7418
640	13207	7396
641	13228	7376
642	13248	7355
643	13280	7341
644	13305	7323
645	13326	7302
646	13346	7281
647	13364	7259
648	13384	7238
649	13403	7217
650	13422	7195
651	13443	7175
652	13465	7155
653	13486	7135
654	13508	7115
655	13532	7096
656	13555	7077
657	13580	7058
658	13603	7038
659	13626	7019
660	13652	7001
661	13672	6980
662	13693	6960
663	13713	6939
664	13733	6918
665	13755	6898
666	13777	6878
667	13798	6857
668	13818	6837
669	13838	6816
670	13858	6795
671	13877	6773
672	13901	6754
673	13921	6733
674	13941	6712
675	13961	6691
676	13980	6669
677	13997	6647
678	14017	6627
679	14041	6607
680	14063	6587
681	14085	6567
682	14108	6548
683	14129	6527
684	14149	6506
685	14169	6485
686	14189	6464
687	14210	6444
688	14231	6423
689	14250	6402
690	14272	6382
691	14291	6360
692	14312	6340
693	14340	6323
694	14366	6304
695	14392	6286
696	14415	6266
697	14439	6247
698	14465	6228
699	14487	6208
700	14507	6188
701	14527	6166
702	14545	6144
703	14565	6124
704	14585	6103
705	14605	6081
706	14625	6061
707	14645	6040
708	14663	6018
709	14682	5997
710	14703	5976
711	14723	5955
712	14746	5935
713	14766	5914
714	14785	5893
715	14802	5871
716	14820	5849
717	14842	5829
718	14862	5808
719	14882	5787
720	14900	5766
721	14919	5744
722	14939	5723
723	14958	5702
724	14980	5682
725	15000	5661
726	15018	5639
727	15037	5618
728	15057	5597
729	15082	5578
730	15108	5559
731	15131	5539
732	15151	5519
733	15173	5498
734	15193	5477
735	15211	5456
736	15231	5435
737	15257	5416
738	15283	5397
739	15318	5382
740	15343	5362
741	15364	5342
742	15384	5321
743	15404	5300
744	15424	5279
745	15447	5259
746	15471	5240
747	15496	5220
748	15525	5202
749	15551	5183
750	15575	5164
751	15595	5143
752	15620	5123
753	15644	5104
754	15669	5084
755	15691	5064
756	15711	5043
757	15733	5023
758	15756	5003
759	15778	4982
760	15798	4961
761	15818	4940
762	15838	4919
763	15856	4898
764	15876	4876
765	15899	4857
766	15921	4836
767	15940	4815
768	15959	4794
769	15983	4774
770	16005	4753
771	16026	4733
772	16045	4711
773	16066	4691
774	16087	4670
775	16109	4650
776	16131	4629
777	16153	4609
778	16173	4588
779	16193	4567
780	16215	4547
781	16240	4527
782	16261	4506
783	16280	4485
784	16300	4464
785	16321	4443
786	16341	4422
787	16360	4401
788	16380	4380
789	16399	4359
790	16420	4338
791	16441	4317
792	16463	4297
793	16486	4277
794	16506	4256
795	16527	4235
796	16547	4214
797	16569	4194
798	16590	4173
799	16616	4154
800	16639	4133
801	16675	4116
802	16703	4097
803	16725	4077
804	16744	4056
805	16765	4035
806	16786	4014
807	16808	3994
808	16833	3974
809	16861	3955
810	16889	3936
811	16913	3915
812	16936	3895
813	16959	3875
814	16983	3855
815	17006	3834
816	17026	3813
817	17045	3792
818	17067	3772
819	17093	3752
820	17120	3732
821	17145	3712
822	17172	3693
823	17199	3673
824	17219	3652
825	17240	3631
826	17258	3610
827	17278	3589
828	17302	3568
829	17322	3547
830	17339	3526
831	17358	3505
832	17378	3483
833	17400	3463
834	17422	3442
835	17442	3421
836	17463	3400
837	17484	3380
838	17504	3359
839	17527	3338
840	17548	3317
841	17567	3296
842	17586	3275
843	17604	3253
844	17625	3232
845	17647	3212
846	17667	3191
847	17686	3170
848	17704	3148
849	17723	3127
850	17747	3107
851	17766	3086
852	17784	3064
853	17804	3043
854	17827	3023
855	17848	3002
856	17868	2981
857	17888	2960
858	17909	2939
859	17929	2918
860	17949	2897
861	17969	2876
862	17992	2856
863	18013	2835
864	18033	2814
865	18055	2793
866	18076	2772
867	18096	2751
868	18117	2731
869	18142	2710
870	18163	2690
871	18185	2669
872	18205	2648
873	18227	2627
874	18246	2606
875	18266	2585
876	18286	2564
877	18305	2543
878	18326	2522
879	18349	2502
880	18371	2481
881	18391	2460
882	18410	2439
883	18431	2418
884	18454	2397
885	18476	2377
886	18496	2356
887	18516	2335
888	18537	2314
889	18558	2293
890	18580	2273
891	18600	2252
892	18619	2231
893	18643	2210
894	18664	2189
895	18697	2170
896	18723	2149
897	18743	2129
898	18763	2108
899	18784	2087
900	18806	2066
901	18827	2045
902	18844	2024
903	18863	2003
904	18882	1982
905	18903	1961
906	18925	1940
907	18946	1919
908	18967	1898
909	18989	1878
910	19009	1857
911	19031	1836
912	19051	1815
913	19072	1794
914	19090	1773
915	19112	1752
916	19133	1731
917	19154	1710
918	19176	1690
919	19196	1669
920	19220	1648
921	19244	1628
922	19268	1607
923	19293	1586
924	19315	1566
925	19341	1545
926	19363	1524
927	19386	1504
928	19409	1483
929	19433	1462
930	19457	1442
931	19480	1421
932	19503	1400
933	19528	1379
934	19550	1359
935	19578	1338
936	19610	1318
937	19635	1297
938	19655	1276
939	19675	1255
940	19697	1235
941	19716	1213
942	19735	1192
943	19758	1172
944	19779	1151
945	19797	1130
946	19817	1109
947	19842	1088
948	19865	1067
949	19884	1046
950	19905	1025
951	19923	1004
952	19943	983
953	19964	962
954	19987	941
955	20009	920
956	20031	900
957	20051	879
958	20072	858
959	20093	837
960	20114	816
961	20132	795
962	20150	774
963	20168	753
964	20187	732
965	20210	711
966	20231	690
967	20250	669
968	20271	648
969	20294	627
970	20317	606
971	20338	585
972	20358	564
973	20377	543
974	20398	523
975	20418	502
976	20439	481
977	20459	460
978	20479	439
979	20498	418
980	20516	397
981	20536	376
982	20559	355
983	20582	334
984	20601	313
985	20619	292
986	20643	271
987	20667	251
988	20688	230
989	20706	209
990	20727	188
991	20748	167
992	20772	146
993	20794	125
994	20812	104
995	20830	83
996	20848	62
997	20867	41
998	20891	20
999	20912	0
